1-5,1-5 
6-10,6-10 
11-15,11-15 
16-20,16-20 
21-24,21-24
25-30,25-30 
31-35,31-35 
36-40,36-40 
41-45,41-45 
46-50,46-50 
51-75,51-75 
>75,>75
NULL,NULL
